0.000000e+00 0.000000e+00 0.000000e+00 
2.214966e-02 2.425260e-02 -2.456718e-03 
4.427878e-02 4.848052e-02 -4.911412e-03 
6.636886e-02 7.265796e-02 -7.362684e-03 
8.840368e-02 9.675790e-02 -9.809819e-03 
1.103693e-01 1.207522e-01 -1.225278e-02 
1.322539e-01 1.446114e-01 -1.469218e-02 
1.540480e-01 1.683054e-01 -1.712929e-02 
1.757441e-01 1.918025e-01 -1.956598e-02 
1.973370e-01 2.150706e-01 -2.200475e-02 
2.188232e-01 2.380763e-01 -2.444863e-02 
2.402014e-01 2.607856e-01 -2.690116e-02 
2.614719e-01 2.831636e-01 -2.936639e-02 
2.826368e-01 3.051749e-01 -3.184875e-02 
3.036998e-01 3.267831e-01 -3.435307e-02 
3.246659e-01 3.479518e-01 -3.688447e-02 
3.455416e-01 3.686437e-01 -3.944829e-02 
3.663343e-01 3.888213e-01 -4.205005e-02 
3.870523e-01 4.084468e-01 -4.469534e-02 
4.077050e-01 4.274822e-01 -4.738973e-02 
4.283019e-01 4.458893e-01 -5.013874e-02 
4.488533e-01 4.636299e-01 -5.294766e-02 
4.693694e-01 4.806659e-01 -5.582152e-02 
4.898602e-01 4.969594e-01 -5.876495e-02 
5.103358e-01 5.124728e-01 -6.178213e-02 
5.308054e-01 5.271688e-01 -6.487661e-02 
5.512774e-01 5.410105e-01 -6.805126e-02 
5.717595e-01 5.539621e-01 -7.130816e-02 
5.922576e-01 5.659881e-01 -7.464846e-02 
6.127766e-01 5.770542e-01 -7.807230e-02 
6.333190e-01 5.871271e-01 -8.157871e-02 
6.538857e-01 5.961749e-01 -8.516548e-02 
6.744749e-01 6.041670e-01 -8.882908e-02 
6.950824e-01 6.110745e-01 -9.256459e-02 
7.157009e-01 6.168704e-01 -9.636554e-02 
7.363201e-01 6.215298e-01 -1.002239e-01 
7.569262e-01 6.250300e-01 -1.041299e-01 
7.775019e-01 6.273512e-01 -1.080722e-01 
7.980259e-01 6.284759e-01 -1.120376e-01 
8.184728e-01 6.283901e-01 -1.160108e-01 
8.388128e-01 6.270831e-01 -1.199751e-01 
8.590119e-01 6.245477e-01 -1.239114e-01 
8.790312e-01 6.207808e-01 -1.277991e-01 
8.988271e-01 6.157834e-01 -1.316155e-01 
9.183509e-01 6.095613e-01 -1.353360e-01 
9.375493e-01 6.021246e-01 -1.389341e-01 
9.563637e-01 5.934889e-01 -1.423817e-01 
9.747307e-01 5.836748e-01 -1.456488e-01 
